Type,Merk,kapasitas_mesin_cc,Bulan,PPnBM,jumlah_penjualan
Ertiga,Suzuki,1500,2020-10-01,0,507
Ertiga,Suzuki,1500,2020-11-01,0,768
Ertiga,Suzuki,1500,2020-12-01,0,995
Ertiga,Suzuki,1500,2021-01-01,0,586
Ertiga,Suzuki,1500,2021-02-01,0,207
Ertiga,Suzuki,1500,2021-03-01,100,1474
Ertiga,Suzuki,1500,2021-04-01,100,1694
Ertiga,Suzuki,1500,2021-05-01,100,849
Ertiga,Suzuki,1500,2021-06-01,100,1658
Ertiga,Suzuki,1500,2021-07-01,100,294
Ertiga,Suzuki,1500,2021-08-01,100,806
Ertiga,Suzuki,1500,2021-09-01,100,963
Ertiga,Suzuki,1500,2021-10-01,100,823
Ertiga,Suzuki,1500,2021-11-01,100,1055
Ertiga,Suzuki,1500,2021-12-01,100,1001
Ertiga,Suzuki,1500,2022-01-01,100,698
Ertiga,Suzuki,1500,2022-02-01,100,902
XL-7,Suzuki,1500,2020-01-01,0,635
XL-7,Suzuki,1500,2020-02-01,0,2220
XL-7,Suzuki,1500,2020-03-01,0,1130
XL-7,Suzuki,1500,2020-04-01,0,267
XL-7,Suzuki,1500,2020-05-01,0,196
XL-7,Suzuki,1500,2020-06-01,0,407
XL-7,Suzuki,1500,2020-07-01,0,694
XL-7,Suzuki,1500,2020-08-01,0,764
XL-7,Suzuki,1500,2020-09-01,0,517
XL-7,Suzuki,1500,2020-10-01,0,567
XL-7,Suzuki,1500,2020-11-01,0,989
XL-7,Suzuki,1500,2020-12-01,0,1441
XL-7,Suzuki,1500,2021-01-01,0,1158
XL-7,Suzuki,1500,2021-02-01,0,506
XL-7,Suzuki,1500,2021-03-01,100,1596
XL-7,Suzuki,1500,2021-04-01,100,804
XL-7,Suzuki,1500,2021-05-01,100,580
XL-7,Suzuki,1500,2021-06-01,100,1188
XL-7,Suzuki,1500,2021-07-01,100,1237
XL-7,Suzuki,1500,2021-08-01,100,2505
XL-7,Suzuki,1500,2021-09-01,100,914
XL-7,Suzuki,1500,2021-10-01,100,1236
XL-7,Suzuki,1500,2021-11-01,100,1516
XL-7,Suzuki,1500,2021-12-01,100,2850
XL-7,Suzuki,1500,2022-01-01,100,731
XL-7,Suzuki,1500,2022-02-01,100,710
Confero,Wuling,1500,2020-01-01,0,259
Confero,Wuling,1500,2020-02-01,0,578
Confero,Wuling,1500,2020-03-01,0,337
Confero,Wuling,1500,2020-04-01,0,6
Confero,Wuling,1500,2020-05-01,0,6
Confero,Wuling,1500,2020-06-01,0,18
Confero,Wuling,1500,2020-07-01,0,50
Confero,Wuling,1500,2020-08-01,0,105
Confero,Wuling,1500,2020-09-01,0,148
Confero,Wuling,1500,2020-10-01,0,289
Confero,Wuling,1500,2020-11-01,0,320
Confero,Wuling,1500,2020-12-01,0,944
Confero,Wuling,1500,2021-01-01,0,353
Confero,Wuling,1500,2021-02-01,0,262
Confero,Wuling,1500,2021-03-01,1,870
Confero,Wuling,1500,2021-04-01,100,1183
Confero,Wuling,1500,2021-05-01,100,1076
Confero,Wuling,1500,2021-06-01,100,859
Confero,Wuling,1500,2021-07-01,100,590
Confero,Wuling,1500,2021-08-01,100,576
Confero,Wuling,1500,2021-09-01,100,614
Confero,Wuling,1500,2021-10-01,100,864
Confero,Wuling,1500,2021-11-01,100,1266
Confero,Wuling,1500,2021-12-01,100,1935
Confero,Wuling,1500,2022-01-01,0,1186
Confero,Wuling,1500,2022-02-01,0,1298
Innova 2.0,Toyota,2000,2020-01-01,0,1249
Innova 2.0,Toyota,2000,2020-02-01,0,1828
Innova 2.0,Toyota,2000,2020-03-01,0,1231
Innova 2.0,Toyota,2000,2020-04-01,0,196
Innova 2.0,Toyota,2000,2020-05-01,0,97
Innova 2.0,Toyota,2000,2020-06-01,0,284
Innova 2.0,Toyota,2000,2020-07-01,0,362
Innova 2.0,Toyota,2000,2020-08-01,0,74
Innova 2.0,Toyota,2000,2020-09-01,0,17
Innova 2.0,Toyota,2000,2020-10-01,0,860
Innova 2.0,Toyota,2000,2020-11-01,0,1335
Innova 2.0,Toyota,2000,2020-12-01,0,1037
Innova 2.0,Toyota,2000,2021-01-01,0,1423
Innova 2.0,Toyota,2000,2021-02-01,0,683
Innova 2.0,Toyota,2000,2021-03-01,0,332
Innova 2.0,Toyota,2000,2021-04-01,50,1202
